ticket_id,customer_id,ticket_date,issue_category,channel,resolution_time_hours,satisfaction_score,ticket_text
TIX100038,CUST003723,2025-10-12,Wrong Item Shipped,Social Media,0.3,3.0,When will my refund for the returned item be processed?
TIX100039,CUST002308,2024-10-14,Damaged Item,Social Media,11.6,4.0,"I can't log into my account, it says my password is invalid."
TIX100040,CUST000968,2026-06-08,Damaged Item,Live Chat,31.0,3.0,When will my refund for the returned item be processed?
TIX100041,CUST002760,2025-12-09,Return Request,Phone,6.4,2.0,My order ORD105891 still hasn't arrived and it's been over a week.
TIX100042,CUST000569,2026-01-23,Refund Status,Phone,5.6,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100043,CUST001630,2024-09-14,Delivery Delay,Social Media,26.6,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100044,CUST005670,2026-05-25,Product Question,Social Media,7.0,3.0,"Great service, just wanted to confirm my order status."
TIX100045,CUST004724,2025-10-31,Account Access,Phone,8.9,4.0,"Wrong item was shipped to me, I ordered a different color."
TIX100046,CUST000821,2025-01-29,Return Request,Phone,31.0,4.0,  the delivery guy left my package outside in the rain!!  
TIX100047,CUST005674,2025-12-31,Refund Status,Live Chat,1.2,,My order ORD109150 still hasn't arrived and it's been over a week.
TIX100048,CUST000150,2026-06-14,Refund Status,Live Chat,49.2,4.0,  the delivery guy left my package outside in the rain!!  
TIX100049,CUST004343,2025-09-16,Billing Issue,Phone,4.0,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100050,CUST002895,2025-07-07,Wrong Item Shipped,Social Media,4.4,5.0,"I want to return this item, it doesn't fit as expected."
TIX100051,CUST003683,2024-12-27,Return Request,Email,26.7,3.0,My order ORD122046 still hasn't arrived and it's been over a week.
TIX100052,CUST001698,2025-05-28,Refund Status,Email,2.3,5.0,"Great service, just wanted to confirm my order status."
TIX100053,CUST001096,2025-04-21,Delivery Delay,Phone,2.7,1.0,"I can't log into my account, it says my password is invalid."
TIX100054,CUST000008,2025-01-22,Billing Issue,Social Media,1.7,3.0,"I want to return this item, it doesn't fit as expected."
TIX100055,CUST005060,2025-07-19,Account Access,Email,16.7,4.0,  the delivery guy left my package outside in the rain!!  
TIX100056,CUST004577,2024-10-22,Damaged Item,Email,33.2,4.0,My order ORD105539 still hasn't arrived and it's been over a week.
TIX100057,CUST000891,2025-07-10,Damaged Item,Live Chat,3.6,4.0,When will my refund for the returned item be processed?
TIX100058,CUST003088,2024-10-06,Account Access,Live Chat,9.0,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100059,CUST000830,2026-02-07,Billing Issue,Phone,20.5,,My order ORD120802 still hasn't arrived and it's been over a week.
TIX100060,CUST001003,2025-01-18,Product Question,Live Chat,6.6,,"Great service, just wanted to confirm my order status."
TIX100061,CUST000250,2025-09-23,Delivery Delay,Live Chat,3.9,3.0,"I can't log into my account, it says my password is invalid."
TIX100062,CUST004666,2025-01-20,Product Question,Phone,42.6,4.0,Can you tell me the warranty period on this product?
TIX100063,CUST004436,2025-07-28,Refund Status,Social Media,21.8,3.0,"The item I received was damaged during shipping, need a replacement."
TIX100064,CUST000534,2026-01-10,Refund Status,Social Media,46.7,3.0,My order ORD109075 still hasn't arrived and it's been over a week.
TIX100065,CUST000732,2024-11-27,Return Request,Live Chat,27.3,1.0,"Wrong item was shipped to me, I ordered a different color."
TIX100066,CUST005326,2026-02-03,Billing Issue,Phone,7.7,5.0,"Great service, just wanted to confirm my order status."
TIX100067,CUST003450,2025-02-27,Refund Status,Live Chat,0.5,5.0,"I was charged twice for order ORD116771, please refund the duplicate charge."
TIX100068,CUST000926,2026-02-05,Product Question,Email,11.3,,"Wrong item was shipped to me, I ordered a different color."
TIX100069,CUST001639,2025-04-09,Delivery Delay,Live Chat,8.2,1.0,Can you tell me the warranty period on this product?
TIX100070,CUST004026,2025-11-23,Billing Issue,Live Chat,12.7,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100071,CUST000146,2025-01-28,Account Access,Social Media,0.2,,Can you tell me the warranty period on this product?
TIX100072,CUST003615,2025-01-26,Wrong Item Shipped,Live Chat,13.7,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100073,CUST005564,2024-11-19,Billing Issue,Live Chat,9.6,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100074,CUST002916,2026-06-18,Refund Status,Social Media,20.5,4.0,"Great service, just wanted to confirm my order status."
TIX100075,CUST005081,2024-09-03,Return Request,Phone,5.6,2.0,Can you tell me the warranty period on this product?
TIX100076,CUST001048,2024-12-25,Damaged Item,Live Chat,30.8,4.0,"I was charged twice for order ORD103354, please refund the duplicate charge."
TIX100077,CUST005924,2024-12-10,Return Request,Phone,47.8,4.0,"I want to return this item, it doesn't fit as expected."
TIX100078,CUST000894,2026-03-18,Delivery Delay,Phone,3.3,3.0,"Great service, just wanted to confirm my order status."
TIX100079,CUST005431,2026-02-24,Refund Status,Live Chat,18.7,4.0,Can you tell me the warranty period on this product?
TIX100080,CUST001872,2026-03-02,Refund Status,Live Chat,18.1,5.0,"Great service, just wanted to confirm my order status."
TIX100081,CUST005334,2026-03-11,Delivery Delay,Email,7.5,4.0,My order ORD123474 still hasn't arrived and it's been over a week.
TIX100082,CUST005210,2025-10-26,Refund Status,Social Media,2.2,3.0,When will my refund for the returned item be processed?
TIX100083,CUST004151,2026-02-24,Wrong Item Shipped,Live Chat,19.9,,"I want to return this item, it doesn't fit as expected."
TIX100084,CUST002678,2026-04-09,Billing Issue,Phone,10.9,5.0,"I want to return this item, it doesn't fit as expected."
TIX100085,CUST004972,2024-11-01,Refund Status,Live Chat,3.8,2.0,"I was charged twice for order ORD118059, please refund the duplicate charge."
TIX100086,CUST003623,2025-09-14,Billing Issue,Social Media,1.1,4.0,"Great service, just wanted to confirm my order status."
TIX100087,CUST000306,2025-04-04,Delivery Delay,Live Chat,52.6,,  the delivery guy left my package outside in the rain!!  
TIX100088,CUST000323,2026-01-19,Billing Issue,Email,9.5,4.0,"I can't log into my account, it says my password is invalid."
TIX100089,CUST002750,2025-02-03,Wrong Item Shipped,Live Chat,24.9,1.0,My order ORD122311 still hasn't arrived and it's been over a week.
TIX100090,CUST001526,2025-02-02,Product Question,Email,2.6,4.0,"I was charged twice for order ORD118868, please refund the duplicate charge."
TIX100091,CUST002898,2025-12-08,Wrong Item Shipped,Social Media,17.6,1.0,"Wrong item was shipped to me, I ordered a different color."
TIX100092,CUST005927,2025-03-29,Account Access,Phone,0.5,4.0,"I was charged twice for order ORD125522, please refund the duplicate charge."
TIX100093,CUST001339,2026-04-03,Refund Status,Live Chat,9.9,4.0,"Wrong item was shipped to me, I ordered a different color."
TIX100094,CUST001170,2025-07-20,Return Request,Email,5.1,5.0,"I can't log into my account, it says my password is invalid."
TIX100095,CUST004599,2026-04-16,Refund Status,Live Chat,7.4,4.0,Can you tell me the warranty period on this product?
TIX100096,CUST006078,2025-02-13,Return Request,Phone,17.6,4.0,"Wrong item was shipped to me, I ordered a different color."
TIX100097,CUST005103,2025-12-27,Return Request,Social Media,7.9,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100098,CUST005370,2025-10-27,Billing Issue,Email,5.1,5.0,When will my refund for the returned item be processed?
TIX100099,CUST001504,2025-02-18,Delivery Delay,Email,22.6,5.0,  the delivery guy left my package outside in the rain!!  
TIX100100,CUST001516,2025-07-17,Refund Status,Phone,14.1,5.0,"I want to return this item, it doesn't fit as expected."
TIX100101,CUST000029,2026-03-12,Delivery Delay,Email,17.8,5.0,Can you tell me the warranty period on this product?
TIX100102,CUST004906,2025-07-19,Refund Status,Phone,8.7,3.0,"I want to return this item, it doesn't fit as expected."
TIX100103,CUST005818,2024-11-07,Return Request,Email,5.3,,"Wrong item was shipped to me, I ordered a different color."
TIX100104,CUST001954,2026-04-23,Account Access,Phone,5.2,5.0,"I can't log into my account, it says my password is invalid."
TIX100105,CUST003035,2026-04-21,Product Question,Social Media,87.6,1.0,"I was charged twice for order ORD104008, please refund the duplicate charge."
TIX100106,CUST005452,2024-12-31,Product Question,Email,19.7,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100107,CUST005771,2025-08-17,Wrong Item Shipped,Phone,1.9,,"Great service, just wanted to confirm my order status."
TIX100108,CUST003221,2025-07-04,Product Question,Social Media,18.6,5.0,"Great service, just wanted to confirm my order status."
TIX100109,CUST001232,2026-01-20,Billing Issue,Phone,2.0,,Can you tell me the warranty period on this product?
TIX100110,CUST002885,2026-04-30,Damaged Item,Email,6.4,1.0,"Wrong item was shipped to me, I ordered a different color."
TIX100111,CUST003359,2025-08-29,Account Access,Phone,33.6,3.0,"Wrong item was shipped to me, I ordered a different color."
TIX100112,CUST004431,2025-03-10,Wrong Item Shipped,Email,44.2,4.0,"I can't log into my account, it says my password is invalid."
TIX100113,CUST005315,2025-06-26,Delivery Delay,Phone,35.4,3.0,  the delivery guy left my package outside in the rain!!  
TIX100114,CUST003030,2026-03-27,Delivery Delay,Social Media,14.5,5.0,"I was charged twice for order ORD127083, please refund the duplicate charge."
TIX100115,CUST001070,2025-01-17,Refund Status,Social Media,10.9,4.0,"I want to return this item, it doesn't fit as expected."
TIX100116,CUST000848,2024-12-18,Product Question,Social Media,5.1,2.0,My order ORD118069 still hasn't arrived and it's been over a week.
TIX100117,CUST005628,2025-10-18,Delivery Delay,Email,28.8,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100118,CUST000003,2026-01-26,Billing Issue,Social Media,17.5,4.0,"Wrong item was shipped to me, I ordered a different color."
TIX100119,CUST001998,2024-09-10,Product Question,Phone,13.6,3.0,Can you tell me the warranty period on this product?
TIX100120,CUST003542,2024-11-15,Product Question,Phone,5.4,4.0,  the delivery guy left my package outside in the rain!!  
TIX100121,CUST002865,2025-07-07,Return Request,Social Media,6.7,,"I was charged twice for order ORD115937, please refund the duplicate charge."
TIX100122,CUST004227,2024-11-01,Return Request,Phone,5.1,,"I want to return this item, it doesn't fit as expected."
TIX100123,CUST004765,2025-11-30,Return Request,Social Media,18.3,4.0,"I want to return this item, it doesn't fit as expected."
TIX100124,CUST002222,2025-07-19,Product Question,Social Media,17.0,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100125,CUST001781,2026-05-09,Product Question,Live Chat,3.4,5.0,  the delivery guy left my package outside in the rain!!  
TIX100126,CUST003547,2025-08-25,Account Access,Social Media,7.3,5.0,Can you tell me the warranty period on this product?
TIX100127,CUST001461,2026-02-04,Billing Issue,Phone,0.3,,"I want to return this item, it doesn't fit as expected."
TIX100128,CUST002143,2026-05-09,Product Question,Live Chat,3.5,5.0,"I want to return this item, it doesn't fit as expected."
TIX100129,CUST005729,2025-07-21,Refund Status,Social Media,13.5,4.0,Can you tell me the warranty period on this product?
TIX100130,CUST003042,2025-01-07,Account Access,Email,8.5,3.0,"The item I received was damaged during shipping, need a replacement."
TIX100131,CUST003497,2025-10-03,Account Access,Social Media,15.9,4.0,When will my refund for the returned item be processed?
TIX100132,CUST003174,2024-12-03,Account Access,Email,9.8,2.0,"I can't log into my account, it says my password is invalid."
TIX100133,CUST004826,2025-04-04,Product Question,Social Media,1.8,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100134,CUST005640,2026-03-08,Billing Issue,Social Media,19.8,,"I can't log into my account, it says my password is invalid."
TIX100135,CUST004167,2024-12-17,Account Access,Live Chat,52.1,,"The item I received was damaged during shipping, need a replacement."
TIX100136,CUST003509,2026-01-06,Product Question,Social Media,5.7,1.0,My order ORD118978 still hasn't arrived and it's been over a week.
TIX100137,CUST000064,2025-01-15,Return Request,Social Media,4.2,1.0,When will my refund for the returned item be processed?
TIX100138,CUST005932,2024-10-06,Delivery Delay,Live Chat,32.8,5.0,  the delivery guy left my package outside in the rain!!  
TIX100139,CUST002484,2025-08-18,Damaged Item,Live Chat,5.7,,When will my refund for the returned item be processed?
TIX100140,CUST000715,2025-03-12,Product Question,Social Media,8.5,5.0,"Great service, just wanted to confirm my order status."
TIX100141,CUST005561,2025-04-13,Damaged Item,Phone,4.5,1.0,"I was charged twice for order ORD109875, please refund the duplicate charge."
TIX100142,CUST005636,2025-10-28,Wrong Item Shipped,Phone,17.8,4.0,"I want to return this item, it doesn't fit as expected."
TIX100143,CUST005844,2026-05-24,Billing Issue,Phone,10.8,5.0,"Great service, just wanted to confirm my order status."
TIX100144,CUST002741,2025-12-12,Delivery Delay,Live Chat,8.3,2.0,"Great service, just wanted to confirm my order status."
TIX100145,CUST000783,2025-04-28,Billing Issue,Social Media,5.4,4.0,When will my refund for the returned item be processed?
TIX100146,CUST000947,2025-01-17,Refund Status,Phone,55.7,4.0,"I want to return this item, it doesn't fit as expected."
TIX100147,CUST004365,2025-01-08,Return Request,Live Chat,1.6,4.0,"Great service, just wanted to confirm my order status."
TIX100148,CUST000953,2025-01-18,Wrong Item Shipped,Live Chat,5.8,,"The item I received was damaged during shipping, need a replacement."
TIX100149,CUST004261,2025-10-27,Wrong Item Shipped,Email,7.6,5.0,Can you tell me the warranty period on this product?
TIX100150,CUST000437,2024-12-05,Wrong Item Shipped,Email,30.6,3.0,"I was charged twice for order ORD106240, please refund the duplicate charge."
TIX100151,CUST003755,2026-03-07,Product Question,Social Media,54.6,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100152,CUST003009,2025-08-14,Wrong Item Shipped,Social Media,0.1,,"Great service, just wanted to confirm my order status."
TIX100153,CUST005977,2025-02-22,Billing Issue,Social Media,57.9,,"Wrong item was shipped to me, I ordered a different color."
TIX100154,CUST005085,2026-06-04,Return Request,Phone,58.9,2.0,Can you tell me the warranty period on this product?
TIX100155,CUST000711,2025-10-18,Product Question,Email,43.6,3.0,  the delivery guy left my package outside in the rain!!  
TIX100156,CUST003797,2026-01-13,Return Request,Live Chat,45.4,5.0,"I want to return this item, it doesn't fit as expected."
TIX100157,CUST001871,2025-07-22,Wrong Item Shipped,Social Media,29.2,,"I can't log into my account, it says my password is invalid."
TIX100158,CUST005270,2025-06-04,Billing Issue,Phone,6.4,4.0,"Great service, just wanted to confirm my order status."
TIX100159,CUST004801,2026-05-02,Return Request,Email,29.1,1.0,"I can't log into my account, it says my password is invalid."
TIX100160,CUST000707,2026-01-04,Refund Status,Email,12.1,4.0,When will my refund for the returned item be processed?
TIX100161,CUST000890,2025-02-12,Damaged Item,Social Media,14.0,3.0,When will my refund for the returned item be processed?
TIX100162,CUST004098,2025-03-29,Delivery Delay,Email,0.4,5.0,Can you tell me the warranty period on this product?
TIX100163,CUST001731,2025-03-07,Return Request,Phone,11.6,,"Wrong item was shipped to me, I ordered a different color."
TIX100164,CUST005695,2025-08-27,Delivery Delay,Phone,5.7,5.0,My order ORD111999 still hasn't arrived and it's been over a week.
TIX100165,CUST001579,2025-12-14,Wrong Item Shipped,Email,7.4,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100166,CUST004347,2025-12-21,Delivery Delay,Social Media,11.6,2.0,My order ORD111059 still hasn't arrived and it's been over a week.
TIX100167,CUST002161,2026-01-29,Product Question,Live Chat,21.0,,"I was charged twice for order ORD111763, please refund the duplicate charge."
TIX100168,CUST001167,2025-11-17,Refund Status,Live Chat,1.4,3.0,  the delivery guy left my package outside in the rain!!  
TIX100169,CUST001252,2024-12-03,Billing Issue,Email,16.7,4.0,"I want to return this item, it doesn't fit as expected."
TIX100170,CUST000594,2025-12-04,Return Request,Live Chat,6.4,1.0,"I want to return this item, it doesn't fit as expected."
TIX100171,CUST000474,2025-07-26,Delivery Delay,Email,31.6,2.0,My order ORD101794 still hasn't arrived and it's been over a week.
TIX100172,CUST002293,2025-06-10,Billing Issue,Social Media,40.4,4.0,  the delivery guy left my package outside in the rain!!  
TIX100173,CUST005742,2025-12-21,Billing Issue,Phone,1.9,5.0,"I want to return this item, it doesn't fit as expected."
TIX100174,CUST003043,2026-06-28,Damaged Item,Email,37.4,5.0,"I was charged twice for order ORD113432, please refund the duplicate charge."
TIX100175,CUST002123,2025-07-22,Refund Status,Live Chat,14.0,,"I want to return this item, it doesn't fit as expected."
TIX100176,CUST005023,2026-03-03,Account Access,Email,3.2,4.0,"The item I received was damaged during shipping, need a replacement."
TIX100177,CUST003625,2026-04-18,Return Request,Phone,0.2,4.0,"I want to return this item, it doesn't fit as expected."
TIX100178,CUST005173,2025-05-01,Wrong Item Shipped,Social Media,16.7,1.0,"Great service, just wanted to confirm my order status."
TIX100179,CUST002075,2024-10-18,Product Question,Social Media,13.7,,"I want to return this item, it doesn't fit as expected."
TIX100180,CUST003183,2024-10-22,Wrong Item Shipped,Social Media,22.6,4.0,"Great service, just wanted to confirm my order status."
TIX100181,CUST003624,2024-11-08,Refund Status,Live Chat,12.7,,"Wrong item was shipped to me, I ordered a different color."
TIX100182,CUST000237,2026-01-20,Product Question,Social Media,0.4,3.0,When will my refund for the returned item be processed?
TIX100183,CUST001446,2026-02-23,Account Access,Email,10.2,5.0,"Wrong item was shipped to me, I ordered a different color."
TIX100184,CUST002959,2025-07-23,Return Request,Social Media,33.1,3.0,"Great service, just wanted to confirm my order status."
TIX100185,CUST003347,2024-09-18,Refund Status,Live Chat,8.7,4.0,"Great service, just wanted to confirm my order status."
TIX100186,CUST004010,2024-10-12,Product Question,Phone,5.5,5.0,  the delivery guy left my package outside in the rain!!  
TIX100187,CUST000492,2026-02-06,Delivery Delay,Live Chat,6.2,5.0,"I can't log into my account, it says my password is invalid."
TIX100188,CUST002795,2025-07-02,Billing Issue,Live Chat,2.0,5.0,When will my refund for the returned item be processed?
TIX100189,CUST003220,2026-06-01,Damaged Item,Live Chat,8.7,,"Wrong item was shipped to me, I ordered a different color."
TIX100190,CUST004013,2025-03-13,Account Access,Social Media,542.0,2.0,"Wrong item was shipped to me, I ordered a different color."
TIX100191,CUST003862,2026-04-04,Wrong Item Shipped,Phone,1.1,3.0,"Wrong item was shipped to me, I ordered a different color."
TIX100192,CUST002160,2026-02-11,Return Request,Phone,44.7,,"I can't log into my account, it says my password is invalid."
TIX100193,CUST003383,2024-11-14,Damaged Item,Phone,10.8,5.0,Can you tell me the warranty period on this product?
TIX100194,CUST004823,2025-11-23,Delivery Delay,Social Media,19.3,4.0,"I was charged twice for order ORD119721, please refund the duplicate charge."
TIX100195,CUST002060,2026-04-12,Product Question,Phone,8.4,5.0,When will my refund for the returned item be processed?
TIX100196,CUST002662,2026-02-16,Return Request,Live Chat,5.6,5.0,When will my refund for the returned item be processed?
TIX100197,CUST003849,2025-09-05,Wrong Item Shipped,Email,1.8,4.0,When will my refund for the returned item be processed?
TIX100198,CUST001804,2025-11-28,Wrong Item Shipped,Phone,11.5,3.0,"I can't log into my account, it says my password is invalid."
TIX100199,CUST000381,2025-09-17,Product Question,Phone,9.8,3.0,"Great service, just wanted to confirm my order status."
TIX100200,CUST005691,2026-02-18,Refund Status,Live Chat,15.3,4.0,"Great service, just wanted to confirm my order status."
TIX100201,CUST002517,2025-05-25,Refund Status,Phone,9.3,5.0,"I was charged twice for order ORD120130, please refund the duplicate charge."
TIX100202,CUST003876,2025-12-25,Wrong Item Shipped,Email,10.7,3.0,  the delivery guy left my package outside in the rain!!  
TIX100203,CUST002342,2025-10-21,Product Question,Live Chat,27.9,5.0,My order ORD103264 still hasn't arrived and it's been over a week.
TIX100204,CUST002135,2026-06-20,Return Request,Email,2.4,,When will my refund for the returned item be processed?
TIX100205,CUST003286,2024-09-05,Account Access,Social Media,9.4,,"I was charged twice for order ORD103178, please refund the duplicate charge."
TIX100206,CUST001726,2026-06-14,Damaged Item,Email,2.7,2.0,When will my refund for the returned item be processed?
TIX100207,CUST002689,2025-04-07,Return Request,Email,49.9,,My order ORD119308 still hasn't arrived and it's been over a week.
TIX100208,CUST000633,2024-10-15,Return Request,Email,31.8,5.0,"Great service, just wanted to confirm my order status."
TIX100209,CUST002700,2024-12-22,Damaged Item,Social Media,33.8,5.0,  the delivery guy left my package outside in the rain!!  
TIX100210,CUST002368,2025-12-11,Refund Status,Social Media,2.7,,"I can't log into my account, it says my password is invalid."
TIX100211,CUST004722,2025-11-26,Wrong Item Shipped,Phone,37.5,,My order ORD119119 still hasn't arrived and it's been over a week.
TIX100212,CUST000395,2026-01-19,Damaged Item,Live Chat,2.8,3.0,"I was charged twice for order ORD111800, please refund the duplicate charge."
TIX100213,CUST004398,2025-10-12,Account Access,Phone,11.3,5.0,When will my refund for the returned item be processed?
TIX100214,CUST005292,2025-04-12,Billing Issue,Email,1.9,5.0,  the delivery guy left my package outside in the rain!!  
TIX100215,CUST006059,2026-04-13,Damaged Item,Email,47.9,5.0,My order ORD103983 still hasn't arrived and it's been over a week.
TIX100216,CUST002611,2025-12-19,Account Access,Live Chat,74.2,4.0,"I was charged twice for order ORD110259, please refund the duplicate charge."
TIX100217,CUST005246,2026-02-03,Return Request,Email,9.9,,"I want to return this item, it doesn't fit as expected."
TIX100218,CUST002745,2026-02-20,Billing Issue,Social Media,53.7,,"I want to return this item, it doesn't fit as expected."
TIX100219,CUST002961,2025-08-08,Billing Issue,Email,1.8,5.0,When will my refund for the returned item be processed?
TIX100220,CUST004809,2025-07-20,Refund Status,Social Media,43.5,4.0,"Wrong item was shipped to me, I ordered a different color."
TIX100221,CUST004583,2024-10-10,Refund Status,Social Media,7.6,2.0,"I can't log into my account, it says my password is invalid."
TIX100222,CUST004956,2025-09-26,Billing Issue,Live Chat,19.8,5.0,Can you tell me the warranty period on this product?
TIX100223,CUST001858,2025-07-27,Product Question,Phone,8.0,4.0,  the delivery guy left my package outside in the rain!!  
TIX100224,CUST001657,2025-03-27,Refund Status,Social Media,16.4,1.0,"I can't log into my account, it says my password is invalid."
TIX100225,CUST003850,2025-08-03,Refund Status,Phone,4.7,4.0,"I can't log into my account, it says my password is invalid."
TIX100226,CUST000182,2025-04-03,Refund Status,Email,17.7,5.0,My order ORD113527 still hasn't arrived and it's been over a week.
TIX100227,CUST001964,2025-04-18,Damaged Item,Live Chat,12.8,3.0,"I can't log into my account, it says my password is invalid."
TIX100228,CUST002716,2024-09-08,Damaged Item,Email,8.1,4.0,Can you tell me the warranty period on this product?
TIX100229,CUST002453,2026-01-17,Refund Status,Email,10.4,3.0,"I want to return this item, it doesn't fit as expected."
TIX100230,CUST005733,2024-11-14,Damaged Item,Email,12.5,,"Great service, just wanted to confirm my order status."
TIX100231,CUST002982,2024-10-03,Billing Issue,Live Chat,9.7,3.0,  the delivery guy left my package outside in the rain!!  
TIX100232,CUST003979,2026-06-29,Return Request,Email,1.3,4.0,"I want to return this item, it doesn't fit as expected."
TIX100233,CUST004872,2025-11-07,Account Access,Live Chat,27.9,5.0,My order ORD116287 still hasn't arrived and it's been over a week.
TIX100234,CUST001201,2025-04-09,Account Access,Phone,19.6,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100235,CUST003936,2025-09-22,Product Question,Social Media,20.6,1.0,When will my refund for the returned item be processed?
TIX100236,CUST002148,2025-03-16,Delivery Delay,Phone,1.0,4.0,"Great service, just wanted to confirm my order status."
TIX100237,CUST002172,2025-10-15,Refund Status,Live Chat,26.7,5.0,"The item I received was damaged during shipping, need a replacement."
TIX100238,CUST003226,2026-04-01,Product Question,Phone,26.9,5.0,"Great service, just wanted to confirm my order status."
TIX100239,CUST004040,2025-05-16,Return Request,Phone,28.5,4.0,"The item I received was damaged during shipping, need a replacement."
